alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,dCL_da,CL_3D,CL/CD,CD2/CL3,CL3/CD2
-11.0,-0.9522,0.1993982762612124,0.00497,-0.0593,0.9686,0.0277,0.10619999999999985,-0.7419045160601121,-3.7207167984151215,-0.09736407791309777,-10.270728398337518
-10.75,-0.9262,0.19808406792465788,0.00473,-0.0591,0.9641,0.0286,0.10140000000000016,-0.721646673781638,-3.643133349099633,-0.10440595011193819,-9.577998178531551
-10.5,-0.9015,0.19686926828247056,0.00451,-0.0586,0.9579,0.0297,0.10119999999999996,-0.7024017236170877,-3.567858659429123,-0.11184051247165368,-8.941303807539803
-10.25,-0.8756,0.19563071577985627,0.0043,-0.0583,0.9522,0.0307,0.10260000000000002,-0.6822217961166079,-3.4872938709906567,-0.12053059946072125,-8.296648357132597
-10.0,-0.8502,0.19445113694476884,0.00412,-0.0579,0.9458,0.0316,0.10120000000000018,-0.6624314425060988,-3.406673022921194,-0.1300762952184057,-7.687795830292842
-9.75,-0.825,0.1933151587494147,0.00391,-0.0575,0.9387,0.0326,0.10139999999999993,-0.6427969184515778,-3.325124230349701,-0.14070530197078318,-7.107052726468299
-9.5,-0.7995,0.1922004467238429,0.00372,-0.0571,0.9317,0.0339,0.10239999999999982,-0.6229286500630745,-3.241036431918963,-0.15282481143113938,-6.543440103968885
-9.25,-0.7738,0.19111240022394402,0.00355,-0.0567,0.9234,0.0353,0.10339999999999994,-0.602904552118583,-3.1547118418904483,-0.1666602561749262,-6.000230786579389
-9.0,-0.7478,0.1900478243056618,0.00338,-0.0563,0.9153,0.0366,0.10340000000000016,-0.582646709840109,-3.0657899503391004,-0.1826038412467899,-5.4763360571834605
-8.75,-0.7221,0.18903128610557193,0.0032,-0.0559,0.9055,0.0383,0.10400000000000009,-0.5626226118956174,-2.976346527005052,-0.20063921992426448,-4.984070414435777
-8.5,-0.6958,0.18802781668784865,0.00304,-0.0556,0.8957,0.0399,0.10499999999999998,-0.542131025283161,-2.8832490576815615,-0.22188677629439332,-4.506803049286845
-8.25,-0.6696,0.18706517651856452,0.00288,-0.0552,0.8846,0.0413,0.10519999999999996,-0.5217173534486987,-2.788960314037514,-0.24642232371506875,-4.058073899003858
-8.0,-0.6432,0.18613255531492887,0.00272,-0.0549,0.8737,0.0435,0.10619999999999985,-0.5011478520582483,-2.6924244993592126,-0.27526250593737117,-3.632895793761043
-7.75,-0.6165,0.18522748737556985,0.00258,-0.0546,0.8632,0.0456,0.10660000000000003,-0.4803446063338155,-2.593268489140934,-0.30956518744618117,-3.230337391131401
-7.5,-0.5899,0.184363960705367,0.00244,-0.0544,0.8525,0.0479,0.10740000000000016,-0.4596192753873767,-2.4929995733922024,-0.35007198562351455,-2.8565553402363695
-7.25,-0.5628,0.1835233626629924,0.00231,-0.0542,0.8431,0.0504,0.10819999999999985,-0.43850437055096725,-2.3893653875348915,-0.39944863121172075,-2.5034508116012733
-7.0,-0.5358,0.1827251729081981,0.00219,-0.054,0.8325,0.0529,0.10819999999999985,-0.41746738049255205,-2.2846736103639613,-0.4589116919119071,-2.179068473574564
-6.75,-0.5087,0.18196347892428183,0.00206,-0.0538,0.8217,0.0563,0.10840000000000016,-0.3963524756561426,-2.1781979438911026,-0.53176988306956,-1.8805126650416035
-6.5,-0.4816,0.1812413098938632,0.00195,-0.0536,0.81,0.0592,0.10860000000000003,-0.3752375708197332,-2.0703755178081433,-0.6217208573501524,-1.6084388808542114
-6.25,-0.4544,0.18055622002847022,0.00184,-0.0534,0.7982,0.0629,0.10919999999999996,-0.3540447512053297,-1.9608560211855548,-0.7345991602065463,-1.3612866093106222
-6.0,-0.427,0.17990635016289738,0.00173,-0.0533,0.7873,0.0668,0.1090000000000001,-0.3326961020349379,-1.8492738123679127,-0.8789210140882445,-1.1377586654215541
-5.75,-0.3999,0.17930333938711918,0.00163,-0.0531,0.7747,0.0713,0.10899999999999999,-0.31158119719852845,-1.7377322601104432,-1.0628281070113628,-0.9408859188076675
-5.5,-0.3725,0.17873383690905192,0.00154,-0.0529,0.7617,0.0758,0.10999999999999999,-0.29023254802813664,-1.623825421348843,-1.3066979602364381,-0.7652877944487315
-5.25,-0.3449,0.17820102583264935,0.00145,-0.0528,0.7493,0.0811,0.10960000000000003,-0.2687280693017566,-1.5080051758743647,-1.6363692272642512,-0.6111090231584474
-5.0,-0.3177,0.17771604661810939,0.00136,-0.0526,0.7364,0.0871,0.10959999999999992,-0.24753524968735305,-1.3928694363727143,-2.0822943945504697,-0.4802394909274499
-4.75,-0.2901,0.1772646351708868,0.00129,-0.0525,0.7225,0.0931,0.11019999999999996,-0.22603077096097302,-1.2751035802661632,-2.721081209490051,-0.3675009759034008
-4.5,-0.2626,0.1768556336258039,0.00121,-0.0524,0.7093,0.1004,0.11000000000000004,-0.20460420701258708,-1.1568995729335623,-3.651691824370484,-0.2738456715668744
-4.25,-0.2351,0.17648733243349748,0.00114,-0.0522,0.6961,0.1081,0.11020000000000002,-0.18317764306420115,-1.0379081633704483,-5.067685768080981,-0.19732873066016438
-4.0,-0.2075,0.1761586145879221,0.00108,-0.0521,0.6822,0.116,0.1104,-0.16167316433782108,-0.9177704122844857,-7.343345405612885,-0.1361777153006653
-3.75,-0.1799,0.17587089363587532,0.00101,-0.052,0.6682,0.1252,0.11059999999999998,-0.14016868561144102,-0.7969976311239285,-11.231426980953094,-0.08903588134400536
-3.5,-0.1522,0.17562335018843678,0.00096,-0.0519,0.6547,0.1354,0.1106,-0.11858629210706685,-0.6752307821245213,-18.495285729597455,-0.05406783191241699
-3.25,-0.1246,0.17541777156291652,0.00091,-0.0518,0.6412,0.1459,0.1106,-0.09708181338068679,-0.5534320298092874,-33.630516677305145,-0.02973489850290731
-3.0,-0.0969,0.1752526680591296,0.00086,-0.0517,0.6277,0.1568,0.11080000000000001,-0.07549941987631259,-0.43080325516550405,-71.36716301317774,-0.014012046405926949
-2.75,-0.0692,0.17512885906599637,0.00082,-0.0516,0.6138,0.1691,0.111,-0.053917026371938404,-0.307870596882151,-195.6760354495919,-0.005110487841305483
-2.5,-0.0414,0.17504612150521967,0.00078,-0.0515,0.601,0.1827,0.11099999999999999,-0.032256718089570084,-0.18427553728237403,-912.9446524186841,-0.001095356654262313
-2.25,-0.0137,0.17500505061104965,0.00075,-0.0514,0.5882,0.1966,0.1108,-0.0106743245851959,-0.060994380150317405,-25181.404590928665,-3.971184357048294e-05
-2.0,0.014,0.17500527422753334,0.00072,-0.0513,0.5748,0.2112,0.1114,0.01090806891917829,0.062329943867841096,23597.101206757437,4.237808666573133e-05
-1.75,0.042,0.17504746804780014,0.00069,-0.0513,0.5627,0.2265,0.1116,0.032724206757534874,0.1869447591701177,874.3881893986328,0.0011436568015491583
-1.5,0.0698,0.17513110330363046,0.00067,-0.0512,0.5508,0.2424,0.11120000000000001,0.05438451503990319,0.3105360156705859,190.67808729481402,0.005244441111127076
-1.25,0.0976,0.17525633176361258,0.00066,-0.0512,0.5386,0.2592,0.11159999999999998,0.07604482332227151,0.43390628205571197,69.8455061783364,0.01431731337799603
-1.0,0.1256,0.1754245042758188,0.00064,-0.0511,0.5274,0.2772,0.11179999999999998,0.09786096116062808,0.5578522884508879,32.836138970619345,0.03045425044932249
-0.75,0.1535,0.17563404422294712,0.00063,-0.0511,0.5168,0.2958,0.1114,0.11959918422099054,0.6809567288057957,18.031537162781,0.05545838887569196
-0.5,0.1813,0.17588450114291135,0.00062,-0.051,0.5055,0.3153,0.11160000000000003,0.14125949250335884,0.8031378068302979,10.9749415938889,0.0911166580200138
-0.25,0.2093,0.1761788030392722,0.00062,-0.051,0.4959,0.3365,0.1114,0.16307563034171546,0.925625713925211,7.157149887352488,0.1397204216397809
