Alpha,CL_2D,CL_Prandtl,CL_Kuchemann,CD
10.75,1.3224,1.2491766150894965,1.258152201511919,0.25251554346757654
11.0,1.3401,1.2649590324738929,1.274143329061781,0.2546044836209465
11.25,1.356,1.2791165400547624,1.2884896320214687,0.2565046701540414
11.5,1.3734,1.2945881049294905,1.3041691987252764,0.2586098032089774
11.75,1.3883,1.3078188747782573,1.3175792245684121,0.26043380761673895
12.0,1.4051,1.3227170569068436,1.3326807596844705,0.26251400969371974
12.25,1.42,1.3359128584151654,1.3460579961697394,0.26437988754155517
12.5,1.4345,1.3487386756364859,1.359061336127766,0.26621457108168456
12.75,1.4498,1.3622553268993824,1.3727663126569012,0.26817068875051636
13.0,1.4628,1.3737265336366684,1.3843983347708755,0.26984905722199815
13.25,1.4757,1.3850972343908028,1.3959293294236583,0.27152932508257993
13.5,1.4896,1.3973357313995636,1.40834133185135,0.2733563587610787
13.75,1.5015,1.4078020589425948,1.4189568377728092,0.2749341190077282
14.0,1.5104,1.4156230522696593,1.4268897807887693,0.27612233028587196
14.25,1.5235,1.4271243354903103,1.4385564264572392,0.27788404536950684
14.5,1.5347,1.4369475766743816,1.4485215890458851,0.27940230841616986
14.75,1.5438,1.4449222382562334,1.4566119252290648,0.28064408556978515
15.0,1.5504,1.4507022924684498,1.4624760769356888,0.2815493082622098
15.25,1.5579,1.4572666958940277,1.4691362494994957,0.2825826579365505
15.5,1.567,1.4652260253627243,1.4772120671737627,0.2838431514974835
15.75,1.574,1.4713445020596092,1.4834203631589962,0.28481775752177246
16.0,1.5791,1.4758000148598804,1.4879414313001613,0.2855305630114457
16.25,1.5819,1.4782453782835414,1.490422827056397,0.2859228877032989
16.5,1.5807,1.4771974348483325,1.48935943763008,0.2857546634428314
16.75,1.586,1.481825065776492,1.4940553285565634,0.28649861714068525
17.0,1.5894,1.484792665183785,1.4970667719486883,0.28697718163317587
17.25,1.5913,1.4864506656288479,1.4987492919306582,0.28724506109944076
17.5,1.5911,1.486276151551208,1.4985721962263348,0.2872168481898879
17.75,1.589,1.4844435792138573,1.4967125256577425,0.2869208267364169
18.0,1.5849,1.4808647811455762,1.4930808682193948,0.28634400686794864
18.25,1.578,1.4748391811535233,1.4869664500045578,0.2853766256144743
18.5,1.5659,1.464264227647274,1.4762361717795895,0.2836903940710568
18.75,1.5624,1.4612033786115952,1.473130496964858,0.2832050613703591
19.0,1.5579,1.4572666958940277,1.4691362494994957,0.2825826579365505
19.25,1.5519,1.452015499852068,1.4638084208604405,0.2817555792588773
